"beta1","beta2","beta3","step0","seconds","trials","beta1_star_final","beta2_star_final","beta3_star_final","beta1_star_mean_tail","beta2_star_mean_tail","beta3_star_mean_tail","beta1_star_sd_tail","beta2_star_sd_tail","beta3_star_sd_tail"
5,0,0,0.1,18593.0208590031,100000,4.12000000000019,0,0.0100000100000011,4.05310760000013,0,0.0106395100000005,0.0828725176359684,0,0.00997273928570014
2.5,0,0,0.1,18593.0208590031,100000,2.44500000000001,0,0.835000010000012,2.35464470000002,0,0.738504710000009,0.0655624452762039,0,0.059293067817992
1.5,0,0,0.07,18593.0208590031,100000,1.55550000000003,0,0.178500010000001,1.51716184000002,0,0.0899901899999992,0.0644958945377338,0,0.0430217656659304
1,0,0,0.05,18593.0208590031,100000,1.01499999999998,0,0.00500001000000007,1.02408229999999,0,0.03349976,0.0519361316806122,0,0.0273261469897206
0.7,0,0,0.01,18593.0208590031,100000,0.713000000000005,0,0.0860000099999984,0.707417330000005,0,0.0692863999999986,0.0241780409095595,0,0.0222907954851126
0.3,0,0,0.01,18593.0208590031,100000,0.329500000000023,0,0.0120000100000001,0.300013510000011,0,0.0167922,0.0223503396670745,0,0.0130814400004489
0.1,0,0,0.01,18593.0208590031,100000,0.17300001,0,0.00150001,0.20078067,0,0.01344028,0.303642446200565,0,0.0125522367927037
0,0,0.1,0.01,18593.0208590031,100000,0.12900001,0,0.02100001,0.0803096899999999,0,0.01463027,0.152539103648365,0,0.0126434702308799
0,0,0.3,0.01,18593.0208590031,100000,0.34700001,0,0.0750000099999998,0.0944100999999998,0,0.0606586300000002,0.168047951797882,0,0.0252373783939802
0,0,0.7,0.01,18593.0208590031,100000,1e-08,0,0.921500000000028,0.12491338,0,0.944900280000019,0.239334231604544,0,0.0323658941934833
0,0,1,0.01,18593.0208590031,100000,0.42100001,0,1.21899999999999,0.059822,0,1.22575484999999,0.117687501181706,0,0.0284013355177993
0,0,1.5,0.07,18593.0208590031,100000,1e-08,0,1.75849999999998,0.36544166,0,1.71911099999999,0.72852354571518,0,0.0815856524970786
0,0,2.5,0.1,18593.0208590031,100000,1e-08,0,274.46000000034,1.38893831000001,0,263.865519600174,2.38335718265637,0,6.17659011684247
0,0,5,0.1,18593.0208590031,100000,1e-08,0,1173.14499999907,1.01823541,0,1067.89847819974,1.93902803558358,0,70.1032094385208
